model,GAMMA,LR_ACTOR,LR_CRITIC,fc1_units,fc2_units,seed,win_iter
model-58,0.95,0.0010,0.0001,200,400,42,99.0
model-94,0.99,0.0010,0.0001,200,400,42,99.0
model-96,0.99,0.0001,0.0001,200,400,42,99.0
model-132,1.0,0.0001,0.0001,200,400,42,99.0
model-60,0.95,0.0001,0.0001,200,400,42,99.0
model-130,1.0,0.0010,0.0001,200,400,42,99.0
model-66,0.95,0.0010,0.0001,400,200,42,100.0
model-104,0.99,0.0001,0.0001,400,200,42,101.0
model-138,1.0,0.0010,0.0001,400,200,42,101.0
model-144,1.0,0.0001,0.0001,400,400,42,101.0
model-102,0.99,0.0010,0.0001,400,200,42,103.0
model-134,1.0,0.0010,0.0001,400,100,42,103.0
model-62,0.95,0.0010,0.0001,400,100,42,103.0
model-90,0.99,0.0010,0.0001,200,200,42,104.0
model-54,0.95,0.0010,0.0001,200,200,42,104.0
model-32,0.9,0.0001,0.0001,400,200,42,105.0
model-30,0.9,0.0010,0.0001,400,200,42,105.0
model-72,0.95,0.0001,0.0001,400,400,42,105.0
model-84,0.99,0.0001,0.0001,100,400,42,105.0
model-126,1.0,0.0010,0.0001,200,200,42,105.0
model-48,0.95,0.0001,0.0001,100,400,42,106.0
model-82,0.99,0.0010,0.0001,100,400,42,106.0
model-36,0.9,0.0001,0.0001,400,400,42,106.0
model-46,0.95,0.0010,0.0001,100,400,42,107.0
model-56,0.95,0.0001,0.0001,200,200,42,108.0
model-114,1.0,0.0010,0.0001,100,200,42,108.0
model-78,0.99,0.0010,0.0001,100,200,42,108.0
model-10,0.9,0.0010,0.0001,100,400,42,108.0
model-98,0.99,0.0010,0.0001,400,100,42,109.0
model-142,1.0,0.0010,0.0001,400,400,42,109.0
model-42,0.95,0.0010,0.0001,100,200,42,110.0
model-6,0.9,0.0010,0.0001,100,200,42,110.0
model-120,1.0,0.0001,0.0001,100,400,42,110.0
model-128,1.0,0.0001,0.0001,200,200,42,111.0
model-92,0.99,0.0001,0.0001,200,200,42,111.0
model-12,0.9,0.0001,0.0001,100,400,42,112.0
model-122,1.0,0.0010,0.0001,200,100,42,112.0
model-116,1.0,0.0001,0.0001,100,200,42,113.0
model-88,0.99,0.0001,0.0001,200,100,42,113.0
model-18,0.9,0.0010,0.0001,200,200,42,113.0
model-100,0.99,0.0001,0.0001,400,100,42,115.0
model-118,1.0,0.0010,0.0001,100,400,42,115.0
model-136,1.0,0.0001,0.0001,400,100,42,116.0
model-70,0.95,0.0010,0.0001,400,400,42,116.0
model-14,0.9,0.0010,0.0001,200,100,42,118.0
model-38,0.95,0.0010,0.0001,100,100,42,119.0
model-86,0.99,0.0010,0.0001,200,100,42,119.0
model-64,0.95,0.0001,0.0001,400,100,42,121.0
model-80,0.99,0.0001,0.0001,100,200,42,121.0
