model,GAMMA,LR_ACTOR,LR_CRITIC,fc1_units,fc2_units,seed,win_iter
model-13020,1.0,0.0010,0.0001,200,400,20,99.0
model-13040,1.0,0.0010,0.0001,200,400,40,99.0
model-9430,0.99,0.0010,0.0001,200,400,30,99.0
model-9450,0.99,0.0010,0.0001,200,400,50,100.0
model-13010,1.0,0.0010,0.0001,200,400,10,101.0
model-9410,0.99,0.0010,0.0001,200,400,10,101.0
model-6010,0.95,0.0001,0.0001,200,400,10,101.0
model-9610,0.99,0.0001,0.0001,200,400,10,102.0
model-9650,0.99,0.0001,0.0001,200,400,50,102.0
model-13050,1.0,0.0010,0.0001,200,400,50,102.0
model-6030,0.95,0.0001,0.0001,200,400,30,103.0
model-13230,1.0,0.0001,0.0001,200,400,30,104.0
model-9640,0.99,0.0001,0.0001,200,400,40,104.0
model-6040,0.95,0.0001,0.0001,200,400,40,104.0
model-9440,0.99,0.0010,0.0001,200,400,40,104.0
model-6020,0.95,0.0001,0.0001,200,400,20,104.0
model-13250,1.0,0.0001,0.0001,200,400,50,105.0
model-13210,1.0,0.0001,0.0001,200,400,10,105.0
model-9630,0.99,0.0001,0.0001,200,400,30,105.0
model-6050,0.95,0.0001,0.0001,200,400,50,106.0
model-13030,1.0,0.0010,0.0001,200,400,30,107.0
model-13240,1.0,0.0001,0.0001,200,400,40,107.0
model-13220,1.0,0.0001,0.0001,200,400,20,147.0
model-9620,0.99,0.0001,0.0001,200,400,20,294.0
model-9420,0.99,0.0010,0.0001,200,400,20,
